CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,1.0,0.36538461538461536,0.3235294117647059,0.3834841628959276,0.36199095022624433,0.39819004524886875,0.36199095022624433,0.34841628959276016,0.35294117647058826,0.3947963800904977,0.3733031674208145,0.502262443438914,0.2647058823529412
2011-01,1.0,0.21875,0.2668269230769231,0.2283653846153846,0.3173076923076923,0.28846153846153844,0.24759615384615385,0.2403846153846154,0.2956730769230769,0.3269230769230769,0.36538461538461536,0.11778846153846154,
2011-02,1.0,0.1868421052631579,0.1868421052631579,0.2868421052631579,0.2710526315789474,0.24473684210526317,0.25526315789473686,0.2736842105263158,0.24736842105263157,0.30526315789473685,0.06842105263157895,,
2011-03,1.0,0.14823008849557523,0.252212389380531,0.19911504424778761,0.2234513274336283,0.168141592920354,0.2676991150442478,0.23008849557522124,0.27876106194690264,0.08628318584070796,,,
2011-04,1.0,0.21,0.20333333333333334,0.21,0.19666666666666666,0.22666666666666666,0.21666666666666667,0.26,0.07333333333333333,,,,
2011-05,1.0,0.19014084507042253,0.17253521126760563,0.17253521126760563,0.20774647887323944,0.2323943661971831,0.2640845070422535,0.09507042253521127,,,,,
2011-06,1.0,0.17355371900826447,0.15702479338842976,0.2644628099173554,0.23140495867768596,0.3305785123966942,0.09504132231404959,,,,,,
2011-07,1.0,0.17647058823529413,0.20320855614973263,0.22459893048128343,0.2727272727272727,0.11229946524064172,,,,,,,
2011-08,1.0,0.20118343195266272,0.24260355029585798,0.24260355029585798,0.1242603550295858,,,,,,,,
2011-09,1.0,0.23411371237458195,0.3010033444816054,0.11371237458193979,,,,,,,,,
2011-10,1.0,0.23529411764705882,0.11484593837535013,,,,,,,,,,
2011-11,1.0,0.11145510835913312,,,,,,,,,,,
2011-12,1.0,,,,,,,,,,,,
